Kelas,Kehadiran,Nilai rata-rata tugas,Rata-rata Ulangan Harian,Nilai Asli PTS,Status ekonomi keluarga ,Dukungan keluarga,Jumlah Jam Belajar,Teknologi dan Akses ke Sumber Belajar,Jumlah Kegiatan Ekstrakurikuler ,Hasil Akhir Semeter 
7,98,70,70,60,Rendah,Tidak,2,Ya,2,Tidak Lulus
7,100,90,88,95,Sedang,Ya,1,Ya,3,Lulus
7,99,75,70,75,Rendah,Ya,1,Ya,2,Tidak Lulus
7,96,76,70,60,Rendah,Ya,1,Tidak,2,Tidak Lulus
7,95,76,70,75,Rendah,Ya,1,Ya,2,Tidak Lulus
7,95,78,70,70,Rendah,Ya,1,Ya,2,Tidak Lulus
7,99,86,84,78,Tinggi,Tidak,2,Ya,2,Lulus
7,100,83,80,74,Sedang,Ya,3,Ya,2,Lulus
7,98,78,72,74,Tinggi,Ya,1,Ya,2,Lulus
7,100,92,90,86,Tinggi,Ya,2,Ya,2,Lulus
7,96,83,78,60,Tinggi,Tidak,3,Ya,3,Lulus
7,92,85,80,74,Tinggi,Ya,2,Ya,3,Tidak Lulus
7,100,84,78,74,Sedang,Ya,2,Ya,2,Lulus
7,100,80,75,70,Tinggi,Ya,1,Ya,3,Lulus
7,97,84,80,74,Rendah,Tidak,1,Ya,2,Lulus
7,96,88,85,55,Sedang,Tidak,1,Ya,2,Lulus
7,98,70,70,74,Sedang,Ya,1,Ya,2,Tidak Lulus
7,98,70,70,70,Rendah,Ya,0,Ya,2,Tidak Lulus
7,100,82,80,71,Rendah,Ya,1,Tidak,2,Lulus
7,100,80,75,73,Sedang,Ya,1,Ya,2,Lulus
7,98,78,67,67,Sedang,Ya,2,Ya,3,Lulus
7,94,81,76,75,Sedang,Ya,2,Ya,2,Lulus
7,100,75,73,68,Tinggi,Ya,2,Ya,2,Lulus
7,98,80,79,75,Rendah,Ya,1,Ya,2,Lulus
7,96,81,74,65,Sedang,Tidak,3,Ya,2,Tidak Lulus
7,96,80,75,76,Tinggi,Ya,3,Ya,2,Lulus
7,100,78,69,75,Sedang,Ya,2,Ya,3,Lulus
7,100,82,81,75,Tinggi,Ya,1,Ya,2,Lulus
7,100,80,76,74,Sedang,Ya,3,Ya,2,Tidak Lulus
7,97,75,70,65,Rendah,Tidak,2,Ya,2,Tidak Lulus
7,98,70,70,65,Sedang,Ya,2,Ya,2,Tidak Lulus
7,96,70,70,60,Rendah,Tidak,1,Ya,2,Tidak Lulus
7,98,70,70,63,Sedang,Ya,1,Ya,2,Tidak Lulus
8,100,85,80,62,Rendah,Ya,2,Ya,2,Lulus
8,95,80,75,53,Rendah,Ya,0,Ya,2,Lulus
8,98,80,76,60,Sedang,Ya,1,Ya,2,Tidak Lulus
8,94,82,76,50,Tinggi,Ya,1,Ya,2,Tidak Lulus
8,94,75,71,50,Sedang,Ya,1,Ya,2,Tidak Lulus
8,97,82,77,60,Rendah,Ya,1,Ya,2,Tidak Lulus
8,92,78,74,69,Tinggi,Tidak,1,Ya,3,Tidak Lulus
8,92,80,75,50,Sedang,Ya,3,Ya,2,Tidak Lulus
8,96,84,76,75,Tinggi,Ya,2,Ya,2,Lulus
8,96,80,80,60,Sedang,Ya,2,Ya,2,Tidak Lulus
8,94,85,76,70,Tinggi,Ya,2,Ya,2,Lulus
8,98,87,80,86,Tinggi,Ya,1,Ya,2,Lulus
8,89,80,85,60,Sedang,Ya,1,Ya,2,Tidak Lulus
8,95,78,76,60,Rendah,Tidak,1,Ya,2,Tidak Lulus
8,97,80,74,55,Sedang,Tidak,0,Ya,2,Tidak Lulus
8,97,84,76,70,Tinggi,Ya,0,Ya,2,Tidak Lulus
8,96,78,80,50,Sedang,Ya,1,Ya,2,Tidak Lulus
8,97,84,74,59,Sedang,Ya,2,Ya,2,Tidak Lulus
8,100,78,80,59,Sedang,Ya,2,Ya,2,Tidak Lulus
8,100,78,74,56,Sedang,Ya,1,Ya,2,Tidak Lulus
8,98,80,75,50,Sedang,Ya,0,Ya,2,Tidak Lulus
8,98,83,78,56,Sedang,Ya,0,Ya,2,Tidak Lulus
8,93,80,75,56,Tinggi,Ya,1,Ya,2,Tidak Lulus
8,98,80,75,50,Sedang,Ya,2,Ya,2,Tidak Lulus
8,100,78,74,50,Rendah,Tidak,1,Ya,2,Tidak Lulus
8,100,78,74,65,Sedang,Ya,1,Ya,2,Tidak Lulus
8,97,80,75,50,Sedang,Ya,1,Ya,2,Tidak Lulus
8,98,82,77,60,Sedang,Tidak,2,Ya,2,Tidak Lulus
8,100,83,78,50,Rendah,Tidak,1,Ya,2,Tidak Lulus
8,100,85,85,96,Tinggi,Tidak,2,Ya,2,Lulus
8,98,83,80,65,Sedang,Ya,1,Ya,2,Lulus
8,99,82,78,65,Tinggi,Ya,1,Ya,2,Tidak Lulus
8,99,82,78,70,Rendah,Ya,1,Ya,2,Tidak Lulus
8,97,85,81,85,Sedang,Ya,1,Ya,2,Lulus
8,99,84,80,70,Tinggi,Ya,1,Tidak,3,Lulus
8,97,83,80,70,Rendah,Tidak,1,Ya,3,Tidak Lulus
8,98,83,80,73,Tinggi,Ya,2,Ya,2,Lulus
8,99,86,84,60,Sedang,Ya,2,Ya,2,Tidak Lulus
9,98,90,86,70,Sedang,Ya,2,Ya,2,Tidak Lulus
9,96,92,90,70,Tinggi,Ya,2,Ya,3,Lulus
9,99,88,87,70,Rendah,Ya,1,Ya,2,Tidak Lulus
9,100,76,70,40,Rendah,Ya,2,Ya,2,Tidak Lulus
9,98,76,70,70,Rendah,Ya,0,Ya,2,Tidak Lulus
9,89,90,86,70,Tinggi,Ya,3,Ya,2,Tidak Lulus
9,96,90,89,70,Sedang,Ya,2,Ya,2,Lulus
9,98,87,84,65,Rendah,Ya,2,Ya,3,Tidak Lulus
9,100,85,81,68,Rendah,Ya,4,Ya,2,Tidak Lulus
9,98,89,83,70,Tinggi,Ya,2,Ya,2,Tidak Lulus
9,99,87,78,68,Rendah,Ya,2,Ya,2,Tidak Lulus
9,100,90,88,64,Tinggi,Ya,1,Ya,2,Lulus
9,100,87,80,54,Tinggi,Tidak,2,Ya,2,Tidak Lulus
9,90,88,80,67,Tinggi,Ya,2,Ya,2,Tidak Lulus
9,100,87,80,60,Rendah,Ya,2,Ya,2,Tidak Lulus
9,99,88,82,67,Tinggi,Ya,1,Ya,3,Tidak Lulus
9,97,88,85,65,Rendah,Ya,2,Ya,2,Tidak Lulus
9,100,89,85,70,Tinggi,Ya,0,Ya,2,Tidak Lulus
9,95,94,88,50,Tinggi,Ya,3,Ya,3,Lulus
9,96,92,85,65,Tinggi,Ya,1,Ya,2,Lulus
9,97,90,85,68,Rendah,Ya,1,Ya,2,Tidak Lulus
9,97,83,76,50,Rendah,Ya,3,Ya,2,Tidak Lulus
9,100,85,79,70,Tinggi,Ya,2,Ya,2,Tidak Lulus
9,100,87,80,71,Rendah,Ya,2,Ya,2,Tidak Lulus
9,96,90,87,72,Tinggi,Ya,2,Ya,2,Tidak Lulus
9,96,96,88,78,Tinggi,Ya,3,Ya,2,Lulus
9,100,90,87,70,Tinggi,Ya,2,Tidak,2,Tidak Lulus
9,99,80,75,55,Rendah,Ya,2,Ya,2,Tidak Lulus
9,92,80,73,60,Rendah,Ya,1,Ya,2,Tidak Lulus
9,97,73,70,60,Rendah,Tidak,0,Ya,2,Tidak Lulus
